"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"﹐"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"《"	0	0	0	10	1.435	0.692	2.279	5.595	-0.672	-0.311	-1.123	2.522	4.628	"4"
"》"	0	0	0	9	1.291	0.623	2.051	5.036	-0.605	-0.28	-1.011	2.27	4.166	"4"
"」"	0	0	0	5	0.717	0.346	1.139	2.798	-0.336	-0.156	-0.562	1.261	2.315	"4"
"】"	0	0	2	0	0.287	0.138	0.456	1.119	-0.134	-0.062	1.285	-0.712	2.193	"3"
"0四"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"1986年"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"2003年"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"891018"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"891120"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"ARS"	1	0	1	0	0.287	0.138	0.456	1.119	0.575	-0.062	0.394	-0.712	1.743	"4"
"BOT"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"high"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"SARS"	0	0	5	0	0.717	0.346	1.139	2.798	-0.336	-0.156	3.212	-1.78	5.484	"3"
"SRI"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"Tina"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"一些"	1	0	2	5	1.148	0.554	1.823	4.476	-0.169	-0.249	0.24	0.302	0.96	"4"
"一切"	1	0	0	0	0.143	0.069	0.228	0.56	0.843	-0.031	-0.112	-0.356	1.342	"1"
"一标"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"一般"	0	0	0	2	0.287	0.138	0.456	1.119	-0.134	-0.062	-0.225	0.504	0.925	"4"
"一般性"	0	0	1	0	0.143	0.069	0.228	0.56	-0.067	-0.031	0.642	-0.356	1.096	"3"
"三市"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"三日"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"上下"	1	0	0	0	0.143	0.069	0.228	0.56	0.843	-0.031	-0.112	-0.356	1.342	"1"
"上网"	0	1	0	2	0.43	0.208	0.684	1.679	-0.202	0.713	-0.337	0.23	1.482	"2"
"上课"	0	0	0	2	0.287	0.138	0.456	1.119	-0.134	-0.062	-0.225	0.504	0.925	"4"
"上述"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"下载"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"不一"	0	0	0	2	0.287	0.138	0.456	1.119	-0.134	-0.062	-0.225	0.504	0.925	"4"
"不便"	0	0	1	0	0.143	0.069	0.228	0.56	-0.067	-0.031	0.642	-0.356	1.096	"3"
"不同"	0	0	0	5	0.717	0.346	1.139	2.798	-0.336	-0.156	-0.562	1.261	2.315	"4"
"不当"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"不惜"	0	1	0	0	0.143	0.069	0.228	0.56	-0.067	1.16	-0.112	-0.356	1.695	"2"
"不然"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"不能"	0	0	1	0	0.143	0.069	0.228	0.56	-0.067	-0.031	0.642	-0.356	1.096	"3"
"不见得"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"不规"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"与会者"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"专责"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"业务"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"业师"	0	1	0	0	0.143	0.069	0.228	0.56	-0.067	1.16	-0.112	-0.356	1.695	"2"
"两岸货"	0	0	1	0	0.143	0.069	0.228	0.56	-0.067	-0.031	0.642	-0.356	1.096	"3"
"严"	0	0	1	0	0.143	0.069	0.228	0.56	-0.067	-0.031	0.642	-0.356	1.096	"3"
"严格"	2	0	4	0	0.861	0.415	1.367	3.357	0.681	-0.187	1.567	-2.136	4.571	"4"
"中医药"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"中期"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"中长期"	1	0	0	0	0.143	0.069	0.228	0.56	0.843	-0.031	-0.112	-0.356	1.342	"1"
"临时"	1	0	0	0	0.143	0.069	0.228	0.56	0.843	-0.031	-0.112	-0.356	1.342	"1"
"举凡"	0	0	1	0	0.143	0.069	0.228	0.56	-0.067	-0.031	0.642	-0.356	1.096	"3"
"举发"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"乞讨"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"乡土"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"书面"	0	2	0	0	0.287	0.138	0.456	1.119	-0.134	2.32	-0.225	-0.712	3.391	"2"
"予以"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"事项"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"互保"	0	1	0	0	0.143	0.069	0.228	0.56	-0.067	1.16	-0.112	-0.356	1.695	"2"
"互联网"	0	0	0	2	0.287	0.138	0.456	1.119	-0.134	-0.062	-0.225	0.504	0.925	"4"
"亡羊补牢"	0	0	1	0	0.143	0.069	0.228	0.56	-0.067	-0.031	0.642	-0.356	1.096	"3"
"交互"	0	1	0	0	0.143	0.069	0.228	0.56	-0.067	1.16	-0.112	-0.356	1.695	"2"
"交割"	0	0	0	1	0.143	0.069	0.228	0.56	-0.067	-0.031	-0.112	0.252	0.462	"4"
"交易"	0	1	0	2	0.43	0.208	0.684	1.679	-0.202	0.713	-0.337	0.23	1.482	"2"
