"","id","concept","variant","corpus","year","text","lect","cluster"
"1","报章/Na/CNA_CMN_20001001_wpr/43871","newspaper_06267145-n","报章","CNA",2000,"美誉 。 除了 社论 外 , 今天 香港<br>各 大 <b>报章</b> 也 以 相当<br>篇幅 报导 中共 奥运队 打破 历来 得奖","TW",4
"2","报章/Na/CNA_CMN_20001001_wpr/85315","newspaper_06267145-n","报章","CNA",2000,"的 训练 , 并 多 接触 英语 媒体 如<br>英语 <b>报章</b> 杂志 和 广播<br>、 电视 、 电影 等 。 891001","TW",4
"3","报章/Na/CNA_CMN_20001103_wpr/140006","newspaper_06267145-n","报章","CNA",2000,"主席 麦燕庭 表示 , 现时 香港 只有<br>两 份 英文 <b>报章</b> , 「<br>南华早报 」 的 决定 会 让 人 感到","TW",3
"4","报章/Na/CNA_CMN_20001109_wpr/135956","newspaper_06267145-n","报章","CNA",2000,"刊世 界 各 主要 媒体 的 分析 评论<br>, 马国 <b>报章</b> 也 分别 在<br>社论 或 专 栏 文章 内 ,","TW",4
"5","报章/Na/CNA_CMN_20001204_wpr/55852","newspaper_06267145-n","报章","CNA",2000,"内 不 改变 流动 电话 收费 模式 后<br>, 大陆 <b>报章</b> 昨天 又 报导<br>指出 , 当局 已经 正式 批准 铁路部","TW",4
"6","报章/Na/CNA_CMN_20001208_wpr/78859","newspaper_06267145-n","报章","CNA",2000,"。 」 891208 葡 一 基金会 将<br>资助 澳门 葡文 <b>报章</b> (<br>中央社 记者 任中弘 澳门 八 日 电 )<br>葡萄牙","TW",4
"7","报章/Na/CNA_CMN_20001212_wpr/67945","newspaper_06267145-n","报章","CNA",2000,"的 话 却 被 该 组织 及 某些 华 文<br><b>报章</b> 巧妙 曲解 , 蓄意<br>造成 人们 误解 , 而 让","TW",4
"8","报章/Na/CNA_CMN_20001220_wpr/79862","newspaper_06267145-n","报章","CNA",2000,"招来 不少 争议 , 不少 诟病 。 另<br>一 份 <b>报章</b> 新华澳报 则<br>发表 社论 表示 , 「 过去 一 年","TW",4
"9","报章/Na/CNA_CMN_20001224_wpr/66670","newspaper_06267145-n","报章","CNA",2000,", 在 中国 大陆 、 台湾 及 香港 三<br>地 <b>报章</b> 中 , 今年 共有<br>十 九 名 见报率 最 高","TW",4
"10","报章/Na/CNA_CMN_20001224_wpr/66735","newspaper_06267145-n","报章","CNA",2000,"语言 资讯 科学 研究 中心 对 两岸 及<br>香港 的 <b>报章</b> 进行 统计<br>, 结果 发现 , 今年 共有 十九 名","TW",4
"11","报章/Na/CNA_CMN_20001224_wpr/66910","newspaper_06267145-n","报章","CNA",2000,"的 古巴 男童 埃利安 。 统计 又 发现<br>, 香港 <b>报章</b> 首 二十 名<br>最 具 见报率 的 人士 中 ,","TW",4
"12","报章/Na/CNA_CMN_20001226_wpr/28256","newspaper_06267145-n","报章","CNA",2000,"没有 写成 科学 论 文 接受 同侪 批判<br>。 自从 <b>报章</b> 媒体 刊出<br>Genic 含有 龙葵 、 金银花 、 半<br>枝","TW",4
"13","报章/Na/CNA_CMN_20001231_wpr/73707","newspaper_06267145-n","报章","CNA",2000,"大陆 的 朱镕基 。 统计 又 显示 ,<br>在 台湾 <b>报章</b> 见报率 最<br>高 的 五 人 分别 是 陈水扁 、","TW",4
"14","报章/Na/CNA_CMN_20010118_wpr/33281","newspaper_06267145-n","报章","CNA",2001,"公安 在 港 行使 司法 管辖权 的 问题<br>。 本地 <b>报章</b> 昨天 报导<br>, 自 去年 中 起 , 共 有","TW",4
"15","报章/Na/CNA_CMN_20030423_wpr/9601","newspaper_06267145-n","报章","CNA",2003,"翌日 ， 各 大 中英 报章 跟进 报导<br>。 部份 <b>报章</b> 认为 ， 无论<br>是否 有 人 刻意 挑起 「 倒董","TW",4
"16","报章/Na/CNA_CMN_20030508_wpr/8460","newspaper_06267145-n","报章","CNA",2003,"的 施政 进行 谩骂 。 虽然 期间 仍<br>有 个别 <b>报章</b> 试图 利用<br>事件 发表 「 倒董 （ 建华 ） 」","TW",4
"17","报章/Na/CNA_CMN_20030628_wpr/1946","newspaper_06267145-n","报章","CNA",2003,"， 消解 了 高 通膨 复发 的 危险 。<br>今后 <b>报章</b> 杂志 上将 不会<br>再 有关于 高 通膨 的 报 导","TW",3
"18","报章/Na/CNA_CMN_20030822_wpr/169","newspaper_06267145-n","报章","CNA",2003,"引起 轰动 ， 全国 五 家 电视台 以及<br>各 大 <b>报章</b> 杂志 ， 均<br>派 人 到场 採访 ， 机场 贵宾室","TW",3
"19","报章/Na/XIN_CMN_20030706_wpr/12928","newspaper_06267145-n","报章","XIN",2003,"大学 企管系 讲 座 教授 高孔廉 6日<br>在 岛 内 <b>报章</b> 撰文 表示<br>, 因应 后 SARS 时代 的 两 岸","ML",4
"20","报章/Na/ZBN_CMN_20001016_wpr/19277","newspaper_06267145-n","报章","ZBN",2000,"时报 》 希望 通过 读者 的 意见 ，<br>进一步 拉近 <b>报章</b> 和 读者<br>的 关系 。 《 海峡 时报 》 总编辑","SG",3
"21","报章/Na/ZBN_CMN_20001017_wpr/4354","newspaper_06267145-n","报章","ZBN",2000,"战略 改变 的 背景 时 ， 前述 的 日本<br>保守 <b>报章</b> 还 根据 “ 日<br>中 关系 的 有关 人士 ”","SG",4
"22","报章/Na/ZBN_CMN_20001018_wpr/26471","newspaper_06267145-n","报章","ZBN",2000,"没有 任何 强烈 反应 ， 但 一 家 主流<br>马来 <b>报章</b> 却 大 作 文章<br>， 一些 “ 爱国心 切 ”","SG",4
"23","报章/Na/ZBN_CMN_20001020_wpr/19898","newspaper_06267145-n","报章","ZBN",2000,"受到 了 报业 控股 高级 执行 副总裁<br>（ 华文报 ／ <b>报章</b> 服务<br>集团 ） 周 景 锐 、 《 联合 早报","SG",3
"24","报章/Na/ZBN_CMN_20001024_wpr/2602","newspaper_06267145-n","报章","ZBN",2000,"” 和 “ 感谢 外交 ” （ 一 家 日本<br><b>报章</b> 甚至 形容为 与 江泽民<br>的 “ 高压 姿态 ” 有","SG",4
"25","报章/Na/ZBN_CMN_20001026_wpr/31039","newspaper_06267145-n","报章","ZBN",2000,"在 这 类 演出 前后 ， 我们 经常 可以<br>在 <b>报章</b> 上 获 悉 艺人<br>在 训练 和 演出 中 受伤","SG",4
"26","报章/Na/ZBN_CMN_20001028_wpr/15763","newspaper_06267145-n","报章","ZBN",2000,"报章 出版 市场 的 领导 地位 。 ”<br>除了 旗下 <b>报章</b> 和 杂志<br>， 报业 控股 也 为 海外 报章 如","SG",3
"27","报章/Na/ZBN_CMN_20001030_wpr/9397","newspaper_06267145-n","报章","ZBN",2000,"的 死亡 人数 太多 。 根据 前天 出版<br>的 沙地 <b>报章</b> ， 阿 巴斯<br>说 ： “ 由于 敌军 的 不","SG",4
"28","报章/Na/ZBN_CMN_20001102_wpr/13521","newspaper_06267145-n","报章","ZBN",2000,"进展 。 我们 所 知道 的 ， 都 是<br>从 <b>报章</b> 或 电 视 新闻<br>中 看到 的 。 ” 失踪","SG",4
"29","报章/Na/ZBN_CMN_20001109_wpr/30726","newspaper_06267145-n","报章","ZBN",2000,"足球队 前 教练 基根 计划 起诉 一 份<br>英国 星期日 <b>报章</b> ， 以<br>还 自己 一 个 清白 。 该 报章","SG",3
"30","报章/Na/ZBN_CMN_20001112_wpr/22390","newspaper_06267145-n","报章","ZBN",2000,"这样 的 印象 ， 同 几 家 主导 市场<br>的 <b>报章</b> 的 报格 和 做法<br>不 无 关系 。 很多 人","SG",4
"31","报章/Na/ZBN_CMN_20001113_wpr/26585","newspaper_06267145-n","报章","ZBN",2000,"士 ， 所以 备受 舆论界 重视 ， 昨日<br>雅加达 主要 <b>报章</b> 多 以<br>头版 头条 报导 有关 会议 发言 者 要求","SG",1
"32","报章/Na/ZBN_CMN_20001113_wpr/37882","newspaper_06267145-n","报章","ZBN",2000,"士 ， 所以 备受 舆论界 重视 ， 昨日<br>雅加达 主要 <b>报章</b> 多 以<br>头版 头条 报导 有关 会议 发言 者 要求","SG",1
"33","报章/Na/ZBN_CMN_20001115_wpr/11296","newspaper_06267145-n","报章","ZBN",2000,"。 港澳 记者 被 拒 门 外 昨天 ，<br>香港 <b>报章</b> 报道 港澳 记者<br>这 次 被 拒 于 门 外","SG",2
"34","报章/Na/ZBN_CMN_20001118_wpr/12907","newspaper_06267145-n","报章","ZBN",2000,"他 说 ： “ 电子报 章 应该 不会 影响<br>传统 <b>报章</b> 的 报份 ， 因为<br>最 有 资格 申 办 电子报","SG",4
"35","报章/Na/ZBN_CMN_20001118_wpr/29266","newspaper_06267145-n","报章","ZBN",2000,"共和党 总统 候选人 小布什 的 运动 ，<br>使 得 美国 <b>报章</b> 主编 大为<br>冒火 ； 该 运动 的 一 名 发起人","SG",4
"36","报章/Na/ZBN_CMN_20001118_wpr/29318","newspaper_06267145-n","报章","ZBN",2000,"他们 把 支持 小布什 的 信息 传递给<br>美国 各 地 <b>报章</b> 的 言论版<br>。 莫里斯 负责 协助 该 州 共和党 筹集","SG",4
"37","报章/Na/ZBN_CMN_20001118_wpr/32710","newspaper_06267145-n","报章","ZBN",2000,"得 起 中文 学位 课程 ？ 这些 大学<br>并且 在 <b>报章</b> 大 打广告<br>， 自称 为 澳洲 一级 大学 （ 其","SG",3
"38","报章/Na/ZBN_CMN_20001121_wpr/7234","newspaper_06267145-n","报章","ZBN",2000,"已 采取 了 一些 改进 措施 。 牛津<br>大学 在 <b>报章</b> 全国 顶尖大<br>学 的 排名 中 位居 第三 ， 落后","SG",4
"39","报章/Na/ZBN_CMN_20001123_wpr/17872","newspaper_06267145-n","报章","ZBN",2000,"。 我 痛恨 这 类 广告 一再 地 出现<br>在 <b>报章</b> 上 ， 心想 那些<br>可怜 的 妇人 们 又 要","SG",4
"40","报章/Na/ZBN_CMN_20001124_wpr/37804","newspaper_06267145-n","报章","ZBN",2000,"婚论嫁 的 成熟 阶段 。 在 悉尼奥运会<br>后 ， 中国 <b>报章</b> 与 网站<br>更 传出 了 两 人 秘密 结婚 的","SG",4
"41","报章/Na/ZBN_CMN_20001125_wpr/6736","newspaper_06267145-n","报章","ZBN",2000,"的 老子 说话 ， 示威 结束 后 还 进一步<br>在 <b>报章</b> 上 发表 文章 ，<br>把 政府 严批 了 一 顿","SG",4
"42","报章/Na/ZBN_CMN_20001205_wpr/28933","newspaper_06267145-n","报章","ZBN",2000,"不良 及 隐藏 意图 的 。 他 说 ，<br>新加坡 <b>报章</b> 不 应 将 马国<br>扯入 新加坡 与 印尼 之间 的","SG",4
"43","报章/Na/ZBN_CMN_20001209_wpr/9018","newspaper_06267145-n","报章","ZBN",2000,"的 意愿 重组 内阁 。 ” 金大中 的<br>政敌 和 <b>报章</b> 以 国内 问题<br>， 包括 劳工 纠纷 为由 ， 呼吁","SG",4
"44","报章/Na/ZBN_CMN_20001211_wpr/32512","newspaper_06267145-n","报章","ZBN",2000,"， 强调 这些 问题 要 由 市场 决定<br>。 澳洲 <b>报章</b> 《 Australian<br>》 前天 报道 ， 根据 电盈 和 澳洲","SG",3
"45","报章/Na/ZBN_CMN_20001214_wpr/31130","newspaper_06267145-n","报章","ZBN",2000,"最 高 赞助 金额 的 女 运动员 。 根据<br>美国 <b>报章</b> 前天 的 报道<br>， 维纳斯 将 与 体育 用品商 力搏","SG",2
"46","报章/Na/ZBN_CMN_20001215_wpr/2743","newspaper_06267145-n","报章","ZBN",2000,"胜出 。 有关 美国 大选 出 的 笑话<br>， 德国 <b>报章</b> 报道 得 很<br>勤 ， 它们 不一定 都 是 幸","SG",2
"47","报章/Na/ZBN_CMN_20001216_wpr/38364","newspaper_06267145-n","报章","ZBN",2000,"国境 内 引起 了 一阵 回响 。 马来西亚<br>的 华文 <b>报章</b> 认为 ， 马国<br>不应该 因为 新印 之间 一时 发生 “","SG",4
"48","报章/Na/ZBN_CMN_20001218_wpr/28076","newspaper_06267145-n","报章","ZBN",2000,"足球队 球迷 冲向 对方 球迷 的 阵地<br>。 据 当地 <b>报章</b> 报道 ，<br>双方 球迷 大打出手 ， 约 30 位 警察","SG",2
"49","报章/Na/ZBN_CMN_20001219_wpr/18751","newspaper_06267145-n","报章","ZBN",2000,"谈 一 谈 我 的 经历 。 不少 读者<br>投函 <b>报章</b> ， 投诉 新加坡<br>巴士 的 冷气 巴士 空调 不 理想","SG",3
"50","报章/Na/ZBN_CMN_20001221_wpr/14918","newspaper_06267145-n","报章","ZBN",2000,"。 常常 在 评论 中 小心 谨慎 的 新加坡<br>首要 <b>报章</b> 《 海峡 时报<br>》 ， 最近 把 这 现象 归咎于","SG",3
"51","报章/Na/ZBN_CMN_20001221_wpr/29577","newspaper_06267145-n","报章","ZBN",2000,"民 的 一 份 荣耀 。 在 接受 韩国<br>英文 <b>报章</b> 《 韩国 先驱报<br>》 的 访问 时 ， 金殷泳 说","SG",3
"52","报章/Na/ZBN_CMN_20001222_wpr/18067","newspaper_06267145-n","报章","ZBN",2000,"历史 图片展 。 华裔馆 计划 在 明年<br>11月 举办 中文 <b>报章</b> 研讨会<br>， 这 批 报章 恰好 可以 派上用场 ，<br>作为","SG",3
"53","报章/Na/ZBN_CMN_20001222_wpr/18111","newspaper_06267145-n","报章","ZBN",2000,"和 现状 纪 教授 指出 ， 各 地 的<br>中文 <b>报章</b> 反映 了 各 地<br>华人 的 生活 面貌 ， 对","SG",3
"54","报章/Na/ZBN_CMN_20001222_wpr/18340","newspaper_06267145-n","报章","ZBN",2000,"图书馆 让 研究 有关 课题 的 学者 和<br>学生 参考 <b>报章</b> 资料 ，<br>譬如 王 慷 鼎 博士 、 杨松年 博士","SG",4
"55","报章/Na/ZBN_CMN_20001222_wpr/18429","newspaper_06267145-n","报章","ZBN",2000,"参阅 有关 的 资料 ， 况且 图书馆 拥有<br>保存 旧 <b>报章</b> 和 线装书<br>的 设备 。 ” 李金生 表示 ， 华裔馆","SG",4
"56","报章/Na/ZBN_CMN_20001228_wpr/26209","newspaper_06267145-n","报章","ZBN",2000,"国会 反对党 领袖 ， 他 表示 目前 他<br>只是 通过 <b>报章</b> 的 报道<br>， 获悉 巫统 准备 和 该党 及 公正党","SG",2
"57","报章/Na/ZBN_CMN_20001230_wpr/27769","newspaper_06267145-n","报章","ZBN",2000,"在 放宽 管制 之后 ， 也 出现 了 新<br>的 <b>报章</b> 出 版 集团 ，<br>新 的 电视台 很 快 也","SG",4
"58","报章/Na/ZBN_CMN_20001230_wpr/40714","newspaper_06267145-n","报章","ZBN",2000,"现象 就 会 改变 。 到时 ， 报业 控股<br>属下 <b>报章</b> 记者 也 得兼<br>做 电视 新闻 ， 他们 就 不可能","SG",3
"59","报章/Na/ZBN_CMN_20010101_wpr/9490","newspaper_06267145-n","报章","ZBN",2001,"事业团 与 他 的 政治 活动 有 任何<br>关系 。 <b>报章</b> 说 ， 反对党<br>预料 将 针对 这 起 牵涉到 内阁","SG",4
"60","报章/Na/ZBN_CMN_20010102_wpr/27896","newspaper_06267145-n","报章","ZBN",2001,"的 《 南方 晚报 》 三 份 本地 早年<br>的 <b>报章</b> 。 此外 ， 还<br>有 60年代 的 12 份 ，","SG",3
"61","报章/Na/ZBN_CMN_20010104_wpr/14138","newspaper_06267145-n","报章","ZBN",2001,"情况 是 符合 的 。 一些 支持 民主党<br>的 本地 <b>报章</b> ， 一 度<br>也 指出 ， 达信 的 泰爱泰党 一","SG",4
"62","报章/Na/ZBN_CMN_20010110_wpr/2499","newspaper_06267145-n","报章","ZBN",2001,"邦联制 ” 的 明显 松动 之 意 。 港<br>台 <b>报章</b> 的 指向 ， 应<br>只是 一厢情愿 的 主观 臆测 。","SG",4
"63","报章/Na/ZBN_CMN_20010111_wpr/17791","newspaper_06267145-n","报章","ZBN",2001,"个 有心人 ， 他 还是 冒 着 风险 ，<br>把 <b>报章</b> 带 了 进来 。<br>可见 他 的 这些 旧 报纸","SG",4
"64","报章/Na/ZBN_CMN_20010113_wpr/4829","newspaper_06267145-n","报章","ZBN",2001,"葡萄牙 兵士 也 有 癌症 病例 的 报告<br>。 中国 <b>报章</b> ： 使用 贫铀<br>弹 违反 人道 另一方面 ， 中国 昨天","SG",4
"65","报章/Na/ZBN_CMN_20010116_wpr/23636","newspaper_06267145-n","报章","ZBN",2001,"一 种 手法 而已 ， 我们 也 可 在<br>新加坡 <b>报章</b> 读到 另 类<br>的 加料 文章 。 我 曾经 在","SG",4
"66","报章/Na/ZBN_CMN_20010116_wpr/23718","newspaper_06267145-n","报章","ZBN",2001,"日 出版 20多 份 的 日报 当中 ，<br>严肃 的 <b>报章</b> 还是 会 有的<br>， 只要 汪 先生 肯 花心思 去","SG",3
"67","报章/Na/ZBN_CMN_20010119_wpr/5493","newspaper_06267145-n","报章","ZBN",2001,"机构 ， 有 42 % 的 受访 者 表示<br>信任 <b>报章</b> 。 另 有 29<br>% 的 人民 信任 法庭 ，","SG",4
"68","报章/Na/ZBN_CMN_20010120_wpr/24383","newspaper_06267145-n","报章","ZBN",2001,"、 新巴 和 八达 ） 的 答覆 。 通常<br>对于 <b>报章</b> 有关 交通 的<br>问题 ， 有关 方面 都 给予 快速","SG",4
"69","报章/Na/ZBN_CMN_20010123_wpr/14942","newspaper_06267145-n","报章","ZBN",2001,"豪情 。 比如 人人 赖以 过日 的 精神<br>粮食 －－ <b>报章</b> ， 一 年前<br>区区 一 份 ， 如今 冒出 整","SG",3
"70","报章/Na/ZBN_CMN_20010126_wpr/28334","newspaper_06267145-n","报章","ZBN",2001,"港签 与 港台 关系 展望 王家英 （ 香港<br>） 根据 <b>报章</b> 报道 ， 香港<br>特区 政府 已 批准 了 台湾 驻","SG",2
"71","报章/Na/ZBN_CMN_20010128_wpr/25225","newspaper_06267145-n","报章","ZBN",2001,"另 一 家 以 电视业 为主 的 公司 出版<br>英文 <b>报章</b> ， 形成 两 个<br>集团 之间 的 竞争 。 通过","SG",3
"72","报章/Na/ZBN_CMN_20010128_wpr/28285","newspaper_06267145-n","报章","ZBN",2001,"引起 马来 社会 的 不满 ” ， 大多数<br>为 某些 <b>报章</b> 的 炒作 ，<br>不 代表 马来人 可以 轻易 的 被","SG",4
"73","报章/Na/ZBN_CMN_20010128_wpr/7384","newspaper_06267145-n","报章","ZBN",2001,"而言 ， 也 是 规模 非常 小 的 一<br>个 <b>报章</b> ， 20万 发行量<br>， 读者 大约 75万 ， 新加坡 通晓","SG",3
"74","报章/Na/ZBN_CMN_20010129_wpr/23545","newspaper_06267145-n","报章","ZBN",2001,"的 电台 。 如果 不 是 本 地 的 华文<br><b>报章</b> 发挥 了 强大 的 影响力<br>， 新山 华人 可能 早已","SG",3
"75","报章/Na/ZBN_CMN_20030401_wpr/31445","newspaper_06267145-n","报章","ZBN",2003,"主席 赖纳 （ 60 岁 ） 说 ： “<br>从 <b>报章</b> 的 报道 看 来<br>， 非典型 肺炎 的 蔓延 情况","SG",2
"76","报章/Na/ZBN_CMN_20030404_wpr/17901","newspaper_06267145-n","报章","ZBN",2003,"。 哥哥 离开 人世 翌日 ， 君 如 阅览<br>所有 <b>报章</b> 报道 及 收听<br>电台 节目 ， 对 于 有 人","SG",4
"77","报章/Na/ZBN_CMN_20030404_wpr/6386","newspaper_06267145-n","报章","ZBN",2003,"得 好 ， 病毒 专 家 、 国会 医院<br>、 <b>报章</b> 和 公众 都 呼吁<br>政府 学习 新加坡 。 国家 公共","SG",4
