"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
"－－"	1	4	2.656	2.344	-0.821	0.821	1.642	"1_&_2"
"，"	285	12	157.791	139.209	61.315	-61.315	122.63	"1_&_2"
"："	3	17	10.626	9.374	-3.297	3.297	6.594	"1_&_2"
"!"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"！"	5	6	5.844	5.156	-0.381	0.381	0.762	"1_&_2"
"？"	1	1	1.063	0.937	-0.144	0.144	0.288	"1_&_2"
"."	0	2	1.063	0.937	-0.658	0.658	1.316	"1_&_2"
"…"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"“"	5	0	2.656	2.344	1.373	-1.373	2.746	"1_&_2"
"（"	11	16	14.345	12.655	-0.865	0.865	1.73	"1_&_2"
"）"	3	15	9.563	8.437	-2.776	2.776	5.552	"1_&_2"
"『"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"』"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"×"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"◆"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"¤"	0	2	1.063	0.937	-0.658	0.658	1.316	"1_&_2"
"134周年"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"1937年"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"1966年"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"1996年"	2	0	1.063	0.937	0.549	-0.549	1.098	"1_&_2"
"20世纪"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"33"	2	0	1.063	0.937	0.549	-0.549	1.098	"1_&_2"
"35"	0	2	1.063	0.937	-0.658	0.658	1.316	"1_&_2"
"36"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"38"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"39"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"40"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"41"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"48"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"49"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"4楼"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"4点"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"5楼"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"60"	2	0	1.063	0.937	0.549	-0.549	1.098	"1_&_2"
"600万"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"65"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"66"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"70"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"84"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"891001"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"900109"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"900118"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"91078367"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"98358900"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"A"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"bin"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"Bysshe"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"CHP"	0	2	1.063	0.937	-0.658	0.658	1.316	"1_&_2"
"Isnin"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"Percy"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"PrimeZone"	0	2	1.063	0.937	-0.658	0.658	1.316	"1_&_2"
"一九"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"一九一一年"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"一会儿"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"一同"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"一向"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"一成不变"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"一气之下"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"一百周年"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"一行"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"一见钟情"	2	0	1.063	0.937	0.549	-0.549	1.098	"1_&_2"
"一起"	2	0	1.063	0.937	0.549	-0.549	1.098	"1_&_2"
"一辈子"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"一雄"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"丁"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"丈"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"丈夫"	17	1	9.563	8.437	3.717	-3.717	7.434	"1_&_2"
"三亚"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"三千一百二十"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"三年"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"三权"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"上前"	2	0	1.063	0.937	0.549	-0.549	1.098	"1_&_2"
"上海人"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"上班"	0	2	1.063	0.937	-0.658	0.658	1.316	"1_&_2"
"下加"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"下楼"	0	1	0.531	0.469	-0.329	0.329	0.658	"1_&_2"
"不以为然"	1	0	0.531	0.469	0.275	-0.275	0.55	"1_&_2"
"不尽"	1	1	1.063	0.937	-0.144	0.144	0.288	"1_&_2"
"不已"	1	1	1.063	0.937	-0.144	0.144	0.288	"1_&_2"
"不幸"	2	0	1.063	0.937	0.549	-0.549	1.098	"1_&_2"
