"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
"，"	29	0	11.13	17.87	12.061	-12.061	24.122	"1_&_2"
"﹐"	0	8	3.07	4.93	-1.682	1.682	3.364	"1_&_2"
"、"	5	207	81.365	130.635	-36.058	36.058	72.116	"1_&_2"
"﹑"	0	7	2.687	4.313	-1.472	1.472	2.944	"1_&_2"
":"	11	16	10.362	16.638	0.326	-0.326	0.652	"1_&_2"
"！"	1	0	0.384	0.616	0.416	-0.416	0.832	"1_&_2"
"?"	1	0	0.384	0.616	0.416	-0.416	0.832	"1_&_2"
"`"	0	1	0.384	0.616	-0.21	0.21	0.42	"1_&_2"
"×"	3	0	1.151	1.849	1.248	-1.248	2.496	"1_&_2"
"═"	0	1	0.384	0.616	-0.21	0.21	0.42	"1_&_2"
"12"	1	0	0.384	0.616	0.416	-0.416	0.832	"1_&_2"
"166"	0	1	0.384	0.616	-0.21	0.21	0.42	"1_&_2"
"1957"	2	0	0.768	1.232	0.832	-0.832	1.664	"1_&_2"
"1971年"	0	1	0.384	0.616	-0.21	0.21	0.42	"1_&_2"
"1974"	0	1	0.384	0.616	-0.21	0.21	0.42	"1_&_2"
"1978年"	1	0	0.384	0.616	0.416	-0.416	0.832	"1_&_2"
"1979年"	0	2	0.768	1.232	-0.421	0.421	0.842	"1_&_2"
"1988"	0	1	0.384	0.616	-0.21	0.21	0.42	"1_&_2"
"1989年"	0	1	0.384	0.616	-0.21	0.21	0.42	"1_&_2"
"1990年"	0	2	0.768	1.232	-0.421	0.421	0.842	"1_&_2"
"1万"	2	0	0.768	1.232	0.832	-0.832	1.664	"1_&_2"
"200"	2	0	0.768	1.232	0.832	-0.832	1.664	"1_&_2"
"2000"	1	0	0.384	0.616	0.416	-0.416	0.832	"1_&_2"
"2001年度"	1	0	0.384	0.616	0.416	-0.416	0.832	"1_&_2"
