"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"exp_10"	"exp_11"	"exp_12"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"pbin_10"	"pbin_11"	"pbin_12"	"SumAbsDev"	"LargestDev"
"1156"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"179369"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"2.0"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"3G"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"48分"	0	0	0	0	0	1	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	0.883	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.286	"6"
"499万"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"891015"	0	0	0	0	0	0	0	0	0	1	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	1.181	-0.006	-0.097	1.615	"10"
"891018"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"891218"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"900106"	0	0	0	0	0	0	0	0	0	1	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	1.181	-0.006	-0.097	1.615	"10"
"ARS"	0	0	0	0	0	1	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	0.883	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.286	"6"
"BOT"	0	0	0	0	0	0	0	0	0	1	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	1.181	-0.006	-0.097	1.615	"10"
"Building"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"Centre"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"ET"	0	0	0	0	0	0	0	0	1	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	1.202	-0.03	-0.006	-0.097	1.638	"9"
"Form"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"G"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"MI"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"P"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"problem-basedlearningBL"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"SARS"	0	0	0	1	0	1	0	0	0	0	0	0	0.044	0.347	0.186	0.061	0.163	0.262	0.176	0.078	0.126	0.132	0.027	0.399	-0.019	-0.165	-0.085	1.222	-0.074	0.611	-0.08	-0.035	-0.056	-0.059	-0.012	-0.194	2.612	"4"
"USB"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"一下子"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"一些"	0	2	0	0	0	1	0	0	0	0	0	0	0.066	0.52	0.278	0.091	0.244	0.393	0.263	0.117	0.188	0.198	0.041	0.599	-0.029	1.098	-0.127	-0.04	-0.111	0.464	-0.12	-0.052	-0.084	-0.089	-0.018	-0.29	2.522	"2"
"一切"	0	1	0	0	1	2	0	1	0	0	0	0	0.109	0.867	0.464	0.152	0.407	0.655	0.439	0.196	0.314	0.33	0.068	0.999	-0.048	0.212	-0.212	-0.067	0.461	0.883	-0.2	0.743	-0.141	-0.148	-0.03	-0.484	3.629	"6"
"一定"	0	0	0	0	0	0	0	1	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	1.408	-0.028	-0.03	-0.006	-0.097	1.855	"8"
"一方面"	0	0	0	0	0	1	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	0.883	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.286	"6"
"一般"	0	0	2	0	0	0	1	0	0	0	0	0	0.066	0.52	0.278	0.091	0.244	0.393	0.263	0.117	0.188	0.198	0.041	0.599	-0.029	-0.248	1.615	-0.04	-0.111	-0.183	0.618	-0.052	-0.084	-0.089	-0.018	-0.29	3.377	"3"
"一般性"	0	0	0	0	0	1	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	0.883	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.286	"6"
"上网"	0	0	0	0	0	0	2	0	0	0	0	1	0.066	0.52	0.278	0.091	0.244	0.393	0.263	0.117	0.188	0.198	0.041	0.599	-0.029	-0.248	-0.127	-0.04	-0.111	-0.183	1.662	-0.052	-0.084	-0.089	-0.018	0.312	2.955	"7"
"上述"	0	0	0	0	3	0	0	0	0	0	0	0	0.066	0.52	0.278	0.091	0.244	0.393	0.263	0.117	0.188	0.198	0.041	0.599	-0.029	-0.248	-0.127	-0.04	3.268	-0.183	-0.12	-0.052	-0.084	-0.089	-0.018	-0.29	4.548	"5"
"下列"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"下定决心"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"不一"	0	0	0	0	0	0	0	0	0	1	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	1.181	-0.006	-0.097	1.615	"10"
"不可"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"不同"	0	0	1	0	0	0	1	0	1	2	0	1	0.131	1.04	0.557	0.183	0.489	0.786	0.527	0.235	0.377	0.396	0.082	1.198	-0.058	-0.496	0.354	-0.081	-0.221	-0.366	0.373	-0.104	0.492	1.263	-0.036	-0.183	4.027	"10"
"不外"	0	0	0	0	0	0	0	1	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	1.408	-0.028	-0.03	-0.006	-0.097	1.855	"8"
"不当"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"不法"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"不能"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"不足"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"丑化"	0	0	0	0	0	0	0	1	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	1.408	-0.028	-0.03	-0.006	-0.097	1.855	"8"
"专人"	0	0	0	0	0	2	0	0	0	0	0	0	0.044	0.347	0.186	0.061	0.163	0.262	0.176	0.078	0.126	0.132	0.027	0.399	-0.019	-0.165	-0.085	-0.027	-0.074	1.765	-0.08	-0.035	-0.056	-0.059	-0.012	-0.194	2.571	"6"
"专户"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"专断"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"专案"	0	0	2	0	0	0	0	0	0	0	0	0	0.044	0.347	0.186	0.061	0.163	0.262	0.176	0.078	0.126	0.132	0.027	0.399	-0.019	-0.165	2.065	-0.027	-0.074	-0.122	-0.08	-0.035	-0.056	-0.059	-0.012	-0.194	2.908	"3"
"严厉"	0	0	0	1	0	1	0	0	0	0	0	0	0.044	0.347	0.186	0.061	0.163	0.262	0.176	0.078	0.126	0.132	0.027	0.399	-0.019	-0.165	-0.085	1.222	-0.074	0.611	-0.08	-0.035	-0.056	-0.059	-0.012	-0.194	2.612	"4"
"严控"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"严格"	0	1	0	1	1	4	0	0	0	0	0	0	0.153	1.213	0.65	0.213	0.57	0.917	0.615	0.274	0.439	0.462	0.096	1.398	-0.067	-0.186	-0.296	0.71	0.349	2.13	-0.279	-0.121	-0.197	-0.207	-0.042	-0.677	5.261	"6"
