"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
"?"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"「"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"1996年"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"1万多"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"2001年"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"2010年"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"⒍"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"6月"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"891008"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"９"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"900128"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"AroozooLane"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"Catherine"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"http"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"Railtrack"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"WTO"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"一意孤行"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"一旦"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"一直"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"一般"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"一面倒"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"七日电"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"万全"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"三寸不烂之舌"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"三通"	1	1	0.234	1.766	0.656	-0.656	1.312	"1_&_2"
"上半年"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"上市公司"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"上市公司业"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"上扬"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"上报"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"上海"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"上访"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"上述"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"下"	75	7	9.607	72.393	60.635	-60.635	121.27	"1_&_2"
"下列"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"下去"	1	2	0.351	2.649	0.506	-0.506	1.012	"1_&_2"
"下挫"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"下来"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"下滑"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"不一"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不亚于"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不佳"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不利"	3	0	0.351	2.649	2.794	-2.794	5.588	"1_&_2"
"不同"	2	4	0.703	5.297	0.825	-0.825	1.65	"1_&_2"
"不如"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不妙"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"不尽相同"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不得不"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不断"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不明"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不景气"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不至于"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不行"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不要"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"不详"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"不错"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"世界"	0	4	0.469	3.531	-0.216	0.216	0.432	"1_&_2"
"东"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"东新"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"东欧"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"两岸"	0	6	0.703	5.297	-0.325	0.325	0.65	"1_&_2"
"严"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"严密"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"严峻"	1	4	0.586	4.414	0.334	-0.334	0.668	"1_&_2"
"严重"	2	14	1.875	14.125	0.241	-0.241	0.482	"1_&_2"
"中"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"中东"	0	7	0.82	6.18	-0.379	0.379	0.758	"1_&_2"
"中华白"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"中国队"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"中心处"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"丹麦人士"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"主委"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"主要"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"主观"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"之下"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"乎"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"乐观"	1	1	0.234	1.766	0.656	-0.656	1.312	"1_&_2"
"九十年度"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"书面"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"了解"	0	8	0.937	7.063	-0.433	0.433	0.866	"1_&_2"
"了解到"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"予以"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"亏损"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"井然有序"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"亚历"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"亚太"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"亢奋"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"交往"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"交换"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"交易"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"交通部"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"交通队"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"亦"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"产业"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"人手"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"人种"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"今后"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"今年"	0	5	0.586	4.414	-0.271	0.271	0.542	"1_&_2"
"介绍"	0	6	0.703	5.297	-0.325	0.325	0.65	"1_&_2"
"仍"	0	4	0.469	3.531	-0.216	0.216	0.432	"1_&_2"
"仍然"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"以"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"以及"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"以来"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
