"","_id","lemma","newspaper","region","formality","_cws.model","_ctxt.model","model.x","model.y","cluster"
"点球/N/XIN_CMN_20040320_wpr/34667","点球/N/XIN_CMN_20040320_wpr/34667","点球","XIN","Mainland","quality","处以/V;罚/V;赫塔队/N;柏林/N;极刑/N;扳平/V;命中/V;比分/N;半/N;场/N","""<small>的 施魏 斯 泰格 禁区 内 绊倒 了 对方 球员</small> , <u>处以</u><sup>2.238</sup> <u>极刑</u><sup>5.686</sup> 。 <u>柏林</u><sup>1.367</sup> <u>赫塔队</u><sup>3.831</sup> 的 马塞利 尼奥主 <u>罚</u><sup>5.699</sup> <span class='target'>点球</span> <u>命中</u><sup>6.6</sup> , <u>场</u><sup>2.27</sup> 上 的 <u>比分</u><sup>4.273</sup> <u>扳平</u><sup>5.715</sup> 。 下 <u>半</u><sup>2.279</sup> <small>场 , 柏林 赫塔队 踢 得 更加 积极 , 拜仁队</small>""",0.699987440574631,2.18403113999061,NA
"极刑/N/CNA_CMN_19911108_wpr/57817","极刑/N/CNA_CMN_19911108_wpr/57817","极刑","CNA","Taiwan","quality","码/N;罚/V;球/N;判/V;罚/V;球员/N;若/C","""<small>黄牌 警告 , 若 球 入 网 , 而 裁判</small> 认为 进 <u>球</u><sup>2.767</sup> 时 , 不但 <u>罚</u><sup>4.824</sup> 十 二 <u>码</u><sup>5.066</sup> <span class='target'>极刑</span> , 该 <u>球员</u><sup>3.093</sup> <u>判</u><sup>4.88</sup> <u>罚</u><sup>4.824</sup> 出场 。 而 守门员 <u>若</u><sup>1.472</sup> <small>一 次 手 触球 后 , 同 队 队友 罚球</small>""",-0.619347239302998,1.32343096289304,4
"极刑/N/CNA_CMN_20010625_wpr/50187","极刑/N/CNA_CMN_20010625_wpr/50187","极刑","CNA","Taiwan","quality","法院/N;属/V;判处/V;犯/V;罪/N;罪犯/N","""<small>克 , 最多 的 达 上万 克 , 其中 有</small> 半数 的 <u>罪</u><sup>4.066</sup> <u>犯</u><sup>3.672</sup> <u>属</u><sup>1.887</sup> 累犯 。 重庆市 <u>法院</u><sup>2.158</sup> <u>判处</u><sup>5.452</sup> <span class='target'>极刑</span> 的 <u>罪犯</u><sup>4.998</sup> 之 一 周 渝 , 一九九一 年 盗窃罪 <small>判刑 , 一九九八年 刑 满 释放 。 去年 四月 ,</small>""",-5.65726528358691,-7.33952830926647,NA
"点球/N/XIN_CMN_19950718_wpr/6887","点球/N/XIN_CMN_19950718_wpr/6887","点球","XIN","Mainland","quality","个/N;相反/V;名声/N;个/N;巴西队/N;阿根廷队/N;扑住/V;比赛/N","""<small>扑出 了 对方 三 个 点球 中 的 两 个</small> 。 <u>相反</u><sup>1.629</sup> , <u>名声</u><sup>2.914</sup> 大 得多 的 坎波斯 四 <u>个</u><sup>1.26</sup> <span class='target'>点球</span> 一 <u>个</u><sup>1.26</sup> <u>扑住</u><sup>7.87</sup> 。 <u>巴西队</u><sup>4.477</sup> 和 <u>阿根廷队</u><sup>4.763</sup> 进行 的 <u>比赛</u><sup>2.312</sup> <small>精彩 场面 迭出 , 踢 法硬 朗 的 阿根廷队 获得</small>""",4.26757842794313,4.51712970602396,NA
"点球/N/XIN_CMN_20030111_wpr/31760","点球/N/XIN_CMN_20030111_wpr/31760","点球","XIN","Mainland","quality","分钟/N;时/N;第二十八/N;进/V;下/V;城/N;中/N","""<small>紧凑 , 颇 有 针 插 进 , 水 泼</small> <u>进</u><sup>2.029</sup> 的 感觉 。 <u>第二十八</u><sup>2.733</sup> <u>分钟</u><sup>4.269</sup> <u>时</u><sup>1.316</sup> , 达戈 贝托 <span class='target'>点球</span> <u>中</u><sup>1.23</sup> 的 , <u>下</u><sup>1.842</sup> 一 <u>城</u><sup>1.702</sup> 。 , 快速 插上 <small>的 威廉 接过 队友 的 长传 球 , 吸引 出</small>""",2.19282643695343,2.3122632685479,5
"点球/N/XIN_CMN_20000430_wpr/4195","点球/N/XIN_CMN_20000430_wpr/4195","点球","XIN","Mainland","quality","判/V;裁判/N;门将/N;无奈/V;江津/N;天津队/N;扑/V;茂臻/N;又/C;操刀/V;城/N;泰山队/N;宿/N","""<small>的 脚 下 球 后 , 形成 单刀 之 势</small> , <u>天津队</u><sup>4.052</sup> <u>门将</u><sup>5.834</sup> <u>江津</u><sup>5.439</sup> <u>无奈</u><sup>1.995</sup> 其 <u>扑</u><sup>4.864</sup> , <u>裁判</u><sup>4.372</sup> <u>判</u><sup>4.079</sup> <span class='target'>点球</span> , <u>宿</u><sup>3.572</sup> <u>茂臻</u><sup>6.326</sup> <u>操刀</u><sup>7.14</sup> <u>泰山队</u><sup>4.428</sup> <u>又</u><sup>1.125</sup> 下 一 <u>城</u><sup>1.702</sup> 。 <small>仅 过 了 2 分钟 , 泰山队 发动 长传 反击</small>""",-0.569494414033442,4.49386599689673,NA
"极刑/N/CNA_CMN_19930225_wpr/73865","极刑/N/CNA_CMN_19930225_wpr/73865","极刑","CNA","Taiwan","quality","判处/V;媒体/N","""<small>鲍曼 的 尸体 。 德国 政府 因此 认为 鲍曼 死亡</small> 。 一九四六年 纽伦堡大 审 时 , 鲍曼 虽然 缺席 <u>判处</u><sup>5.452</sup> <span class='target'>极刑</span> 。 七零年代 有 多 种 <u>媒体</u><sup>1.053</sup> 报导 , 鲍 曼匿 <small>居于 巴拉圭 或 阿根廷 。 巴拉圭 特工处 的 报告 ,</small>""",-6.33512659554997,-7.54869125516706,6
"极刑/N/CNA_CMN_20021220_wpr/163402","极刑/N/CNA_CMN_20021220_wpr/163402","极刑","CNA","Taiwan","quality","死刑/N;废除/V;","""<small>面临 死刑 , 这 项 协定 耽误 了 很 长</small> 时间 。 欧盟国家 <u>废除</u><sup>3.984</sup> <u>死刑</u><sup>5.077</sup> , 美国 有 这 种 <span class='target'>极刑</span> 。 艾斯柏森 愿 透露 这 项 协定 的 细节 , <small>只 表示 美国 和 欧盟 可望 明年 春天 引渡 重大</small>""",-6.24201603909433,-6.50180062784349,NA
"点球/N/XIN_CMN_19980601_wpr/1751","点球/N/XIN_CMN_19980601_wpr/1751","点球","XIN","Mainland","quality","祁宏/N;半/N;场/N;士气/N;门将/N;相反/V;没收/V","""<small>役 范志毅 停赛 外 , 其他 国脚 上阵 组 织</small> 较 好 的 攻防 , 而 下 <u>半</u><sup>2.279</sup> <u>场</u><sup>2.27</sup> <u>祁宏</u><sup>4.679</sup> <span class='target'>点球</span> 敖东 <u>门将</u><sup>5.834</sup> <u>没收</u><sup>2.392</sup> , <u>士气</u><sup>2.668</sup> 更 受 打击 。 <u>相反</u><sup>1.629</sup> <small>敖东队 的 突破 和 远射 极 具 威胁 。 第6</small>""",-0.077745864698661,5.11350106819669,NA
"极刑/N/CNA_CMN_19950614_wpr/114818","极刑/N/CNA_CMN_19950614_wpr/114818","极刑","CNA","Taiwan","quality","量处/N;起诉书/N","""<small>中 指出 被告 年轻力壮 知 奋进 , 企图 勒 赎</small> 方式 取得 鉅款 , 冷血 勒杀 被害人 , 请求 <u>量处</u><sup>7.569</sup> <span class='target'>极刑</span> 。 <u>起诉书</u><sup>4.642</sup> 中 指出 , 纪江龙 今年 三月 二十四日 下午 <small>七 时 , 在 新竹市 建功 国小 停车场 等候 张宗杰</small>""",-6.30883015702862,-8.44568658807006,NA
