"","_id","lemma","newspaper","region","formality","_cws.model","_ctxt.model","model.x","model.y","cluster"
"反击/V/XIN_CMN_20010823_wpr/30891","反击/V/XIN_CMN_20010823_wpr/30891","反击","XIN","Mainland","quality","防守/V;发球/N;队/N;主教练/N;球/N","""<small>: 12 获胜 。 虽然 中国队 得胜 , 但 主教练</small> 林榆廷 说 : “ 我 <u>队</u><sup>2.431</sup> 今天 <u>发球</u><sup>2.964</sup> 和 <u>防守</u><sup>5.699</sup> <span class='target'>反击</span> 打出来 。 ” 英国队 <u>主教练</u><sup>1.667</sup> 格雷哥 输 了 <u>球</u><sup>3.347</sup> 赞扬 <small>中国队 , 称 “ 中国 队 太 强大 , 冠军</small>""",-1.12168626321868,3.10248228375316,NA
"反击/V/XIN_CMN_19961229_wpr/3644","反击/V/XIN_CMN_19961229_wpr/3644","反击","XIN","Mainland","quality","快速/V;时/N;下/N;江苏队/N;半/N;领先/V;发起/V;激起/V;时/N;胡卫东/N;场/N","""<small>。 上半时 结束 时 , 江苏 队 61 : 42</small> <u>领先</u><sup>2.92</sup> 。 <u>下</u><sup>1.186</sup> <u>半</u><sup>1.935</sup> <u>时</u><sup>1.052</sup> , <u>江苏队</u><sup>4.099</sup> 继续 <u>发起</u><sup>3.598</sup> <u>快速</u><sup>4.581</sup> <span class='target'>反击</span> , <u>胡卫东</u><sup>3.804</sup> 的 远 投 <u>时</u><sup>1.052</sup> <u>激起</u><sup>1.701</sup> 全 <u>场</u><sup>1.717</sup> 喝彩 <small>。 武汉 足球 俱乐部 成立 新华社 武汉 12月 29日电 (</small>""",-1.02591273884009,4.94620756576425,NA
"反击/V/CNA_CMN_19990913_wpr/14781","反击/V/CNA_CMN_19990913_wpr/14781","反击","CNA","Taiwan","quality","防卫/V;实力/N","""<small>模式 。 张万年 表示 , 中共 中央 和 国务院 批准</small> 了 中共 国防部 ﹑ 参谋部 提出 的 提升 三军 <u>防卫</u><sup>1.566</sup> <span class='target'>反击</span> 体系 <u>实力</u><sup>1.422</sup> 的 报告 。 国务院 特别 拨款 八百亿 元 <small>人民币 , 作为 落实 这 一 战略 任务 的 专款</small>""",0.748635550703355,1.29392475676057,NA
"反击/V/XIN_CMN_20030323_wpr/50741","反击/V/XIN_CMN_20030323_wpr/50741","反击","XIN","Mainland","quality","快速/V;单刀/N;抓住/V;次/N;机会/N;抢/V;对方/N;禁区/N;机会/N;球/N","""<small>, 金 德队 新 引进 加纳 国脚 阿尤 浪费 了</small> 一 <u>次</u><sup>1.226</sup> <u>单刀</u><sup>5.49</sup> <u>机会</u><sup>2.827</sup> 后 , <u>抓住</u><sup>3.592</sup> 一 <u>次</u><sup>1.226</sup> <u>快速</u><sup>4.581</sup> <span class='target'>反击</span> <u>机会</u><sup>2.827</sup> 。 他 带 <u>球</u><sup>3.347</sup> 杀入 <u>对方</u><sup>3.67</sup> <u>禁区</u><sup>4.202</sup> , <u>抢</u><sup>2.229</sup> <small>实德 门将 安琦 出击 前 抽射 远角 中 的 ,</small>""",-0.562697808410963,5.53931354712933,NA
"反击/V/XIN_CMN_20020306_wpr/57948","反击/V/XIN_CMN_20020306_wpr/57948","反击","XIN","Mainland","quality","断/V;住/V;下/N;次/N;球/N;客队/N;节/N;前/N;比赛/N;得分/N","""<small>比赛 中 没 睡醒 似的 , 不仅 投篮 , 连</small> <u>球</u><sup>3.347</sup> 控制 <u>住</u><sup>1.231</sup> , 多 <u>次</u><sup>1.226</sup> 马卡比 <u>球</u><sup>3.347</sup> <u>断</u><sup>1.835</sup> <u>下</u><sup>1.186</sup> <span class='target'>反击</span> <u>得分</u><sup>3.486</sup> 。 <u>前</u><sup>1.017</sup> 三 <u>节</u><sup>2.03</sup> <u>比赛</u><sup>1.156</sup> 中 , <u>客队</u><sup>4.818</sup> 15 <small>: 23 、 31 : 38 和 43 : 58</small>""",-2.33830863693048,4.83340548691532,NA
"反攻/V/CNA_CMN_20010331_wpr/18054","反攻/V/CNA_CMN_20010331_wpr/18054","反攻","CNA","Taiwan","quality","强势/N;","""<small>, 由于 台北 股市 前 波 高点 六一○○ 点 附近</small> , 单日 成交量 高达 一七○○亿 元 以上 , 如果 <u>强势</u><sup>2.514</sup> <span class='target'>反攻</span> , 单日 成交量 必须 扩大 一八○○亿 元 以上 , 才 <small>可望 突破 。 但是 目前 面临 上档 沈重 卖压 ,</small>""",-3.68229161054037,0.37444864533854,3
"反攻/V/XIN_CMN_19990427_wpr/76803","反攻/V/XIN_CMN_19990427_wpr/76803","反攻","XIN","Mainland","quality","称为/V;击退/V;政府军/N;","""<small>两 棵 北美 红杉 , 长 120 米 高 ,</small> 人们 <u>称为</u><sup>1.323</sup> “ 世界爷 ” 。 安哥拉 <u>政府军</u><sup>2.91</sup> <u>击退</u><sup>4.355</sup> 安盟 <span class='target'>反攻</span> 新华社 罗安 达 4月 26日 电 ( 记者 刘彤 ) <small>安哥拉 国防 部 官员 26日 这里 宣布 , 安 政府军</small>""",4.82205665442795,-4.89521186638525,NA
"反击/V/CNA_CMN_20000312_wpr/91772","反击/V/CNA_CMN_20000312_wpr/91772","反击","CNA","Taiwan","quality","策略/N;言论/N","""<small>激化 下 , 各 式 各 类 的 选 举</small> 语言 出笼 , 强调 尊李 <u>策略</u><sup>1.393</sup> 的 宋楚瑜 , 开始 <span class='target'>反击</span> 李 总统 各 地 造势 晚会 中 的 <u>言论</u><sup>1.656</sup> 。 <small>宋楚瑜 说 , 李 总统 了解 他 与 连战 任内</small>""",0.0152602074169091,-4.48295824564515,NA
"反攻/V/CNA_CMN_19961020_wpr/54754","反攻/V/CNA_CMN_19961020_wpr/54754","反攻","CNA","Taiwan","quality",";被迫/V","""<small>証 , 但 爱盟 代表 处 无 人 接听 ,</small> 如果 塞飞 言 属实 , 久 前 伊朗 境内 越界 <span class='target'>反攻</span> 的 爱盟 , <u>被迫</u><sup>2.197</sup> 退回 伊 朗 境内 , 并 <small>因此 丧尽 与 库民党 谈判 的 筹码 。 土耳其 官方</small>""",3.43956294238018,-6.75972369970091,NA
"反击/V/XIN_CMN_19921217_wpr/4225","反击/V/XIN_CMN_19921217_wpr/4225","反击","XIN","Mainland","quality","得/D;发起/V;奏效/V;分钟/N;时/N;广东队/N","""<small>, 广东队 扩大 的 人 盯 人 防守 , 成功</small> 地 使 方 <u>得</u><sup>1.422</sup> 分手 发挥 作用 , 并 <u>发起</u><sup>3.598</sup> <span class='target'>反击</span> , <u>奏效</u><sup>3.76</sup> 。 15 <u>分钟</u><sup>3.918</sup> <u>时</u><sup>1.052</sup> , <u>广东队</u><sup>3.444</sup> 30 : <small>25 领先 ; 后来 由于 体力 不足 , 最后 两</small>""",-2.57258404378463,5.78671511588957,NA
